date,row_id,row_name,total_list_size
2021-06-01,11M,NHS GLOUCESTERSHIRE,668359
2021-06-01,11N,NHS CORNWALL AND THE ISLES OF SCILLY,593453
2021-06-01,11X,NHS SOMERSET,589677
2021-06-01,12F,NHS WIRRAL,338526
2021-06-01,13T,NHS NEWCASTLE GATESHEAD,531981
2021-06-01,14L,NHS MANCHESTER,677374
2021-06-01,14Y,NHS BUCKINGHAMSHIRE,574324
2021-06-01,15A,NHS BERKSHIRE WEST,558343
2021-06-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",1044172
2021-06-01,15E,NHS BIRMINGHAM AND SOLIHULL,1554072
2021-06-01,15F,NHS LEEDS,898122
2021-06-01,15M,NHS DERBY AND DERBYSHIRE,1102160
2021-06-01,15N,NHS DEVON,1258533
2021-06-01,16C,NHS TEES VALLEY,711991
2021-06-01,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,808546
2021-06-01,26A,NHS NORFOLK AND WAVENEY,1075323
2021-06-01,27D,NHS CHESHIRE,788163
2021-06-01,36J,NHS BRADFORD DISTRICT AND CRAVEN,646121
2021-06-01,36L,NHS SOUTH WEST LONDON,1711649
2021-06-01,42D,NHS NORTH YORKSHIRE,550247
2021-06-01,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,1104308
2021-06-01,70F,NHS WEST SUSSEX,913617
2021-06-01,71E,NHS LINCOLNSHIRE,799670
2021-06-01,72Q,NHS SOUTH EAST LONDON,2024342
2021-06-01,78H,NHS NORTHAMPTONSHIRE,803361
2021-06-01,84H,NHS COUNTY DURHAM,558062
2021-06-01,91Q,NHS KENT AND MEDWAY,1942240
2021-06-01,92A,NHS SURREY HEARTLANDS,1261810
2021-06-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",970202
2021-06-01,93C,NHS NORTH CENTRAL LONDON,1704940
2021-06-01,97R,NHS EAST SUSSEX,563805
2021-06-01,99A,NHS LIVERPOOL,556604
2021-06-01,99C,NHS NORTH TYNESIDE,223413
2021-06-01,99E,NHS BASILDON AND BRENTWOOD,284553
2021-06-01,99F,NHS CASTLE POINT AND ROCHFORD,185654
2021-06-01,99G,NHS SOUTHEND,190120
2021-06-01,A3A8R,NHS NORTH EAST LONDON,2296859
2021-06-01,B2M3M,NHS COVENTRY AND WARWICKSHIRE,1030693
2021-06-01,D2P2L,NHS BLACK COUNTRY,1278948
2021-06-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",1877747
2021-06-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",1056616
2021-06-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",513876
2021-06-01,U2G6B,NHS THAMES VALLEY ICB - U2G6B,454725
2021-06-01,W2U3Z,NHS NORTH WEST LONDON,2679014
2021-06-01,X2C4Y,NHS KIRKLEES,447831
2021-07-01,00L,NHS NORTHUMBERLAND,332090
2021-07-01,00N,NHS SOUTH TYNESIDE,158731
2021-07-01,00P,NHS SUNDERLAND,284690
2021-07-01,00Q,NHS BLACKBURN WITH DARWEN,180112
2021-07-01,00R,NHS BLACKPOOL,175073
2021-07-01,00T,NHS BOLTON,317939
2021-07-01,00V,NHS BURY,208017
2021-07-01,00X,NHS CHORLEY AND SOUTH RIBBLE,187394
2021-07-01,00Y,NHS OLDHAM,260989
2021-07-01,01A,NHS EAST LANCASHIRE,392621
2021-07-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",240685
2021-07-01,01E,NHS GREATER PRESTON,217924
2021-07-01,01F,NHS HALTON,134602
2021-07-01,01G,NHS SALFORD,292514
2021-07-01,01H,NHS NORTH CUMBRIA,327776
2021-07-01,01J,NHS KNOWSLEY,169221
2021-07-01,01K,NHS MORECAMBE BAY,351379
2021-07-01,01T,NHS SOUTH SEFTON,156909
2021-07-01,01V,NHS SOUTHPORT AND FORMBY,125954
2021-07-01,01W,NHS STOCKPORT,318636
2021-07-01,01X,NHS ST HELENS,199877
2021-07-01,01Y,NHS TAMESIDE AND GLOSSOP,219123
2021-07-01,02A,NHS TRAFFORD,244623
2021-07-01,02E,NHS WARRINGTON,221408
2021-07-01,02G,NHS WEST LANCASHIRE,113903
2021-07-01,02H,NHS WIGAN BOROUGH,335862
2021-07-01,02M,NHS FYLDE AND WYRE,180990
2021-07-01,02P,NHS BARNSLEY,264767
2021-07-01,02Q,NHS BASSETLAW,120894
2021-07-01,02T,NHS CALDERDALE,222457
2021-07-01,02X,NHS DONCASTER,326629
2021-07-01,02Y,NHS EAST RIDING OF YORKSHIRE,307347
2021-07-01,03F,NHS HULL,304142
2021-07-01,03H,NHS NORTH EAST LINCOLNSHIRE,170989
2021-07-01,03K,NHS NORTH LINCOLNSHIRE,182977
2021-07-01,03L,NHS ROTHERHAM,265688
2021-07-01,03N,NHS SHEFFIELD,613243
2021-07-01,03Q,NHS VALE OF YORK,249479
2021-07-01,03R,NHS WAKEFIELD,386438
2021-07-01,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,345213
2021-07-01,04C,NHS LEICESTER CITY,422437
2021-07-01,04V,NHS WEST LEICESTERSHIRE,404718
